label,backend,threads,sample,N,rows,cols,seed,repeat,success,attempts,collapses,propagations,rules_s,solve_s,total_s
binary_L11_optims,serial,1,samples/binary_5x5.txt,2,64,64,45,3,1,1,2060,16187,0.0062727,0.248635,0.248794
binary_L11_optims,serial,1,samples/binary_5x5.txt,2,64,64,46,4,1,1,2054,16101,0.0062727,0.247823,0.247988
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.0062727,3.90934,3.90937
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.0062727,4.07079,4.0708
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.0062727,4.08722,4.08723
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,128,128,45,3,1,1,8387,64793,0.0062727,4.03111,4.03112
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,128,128,46,4,1,1,8306,64052,0.0062727,4.03094,4.03096
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.0062727,1.16708,1.16722
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64303,0.0062727,1.19443,1.19445
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.0062727,1.21315,1.21317
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,128,128,45,3,1,1,8387,64792,0.0062727,1.19561,1.19563
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,128,128,46,4,1,1,8306,64052,0.0062727,1.17807,1.17809
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63334,0.0062727,0.768366,0.768532
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64305,0.0062727,0.781843,0.781863
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64858,0.0062727,0.81582,0.81584
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,128,128,45,3,1,1,8387,64789,0.0062727,0.806091,0.806111
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,128,128,46,4,1,1,8306,64052,0.0062727,0.769036,0.769057
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63338,0.0062727,1.51264,1.51289
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.0062727,1.55999,1.56006
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64858,0.0062727,1.57084,1.57091
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,128,128,45,3,1,1,8387,64789,0.0062727,1.55792,1.55798
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,128,128,46,4,1,1,8306,64050,0.0062727,1.52992,1.52999
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63336,0.0062727,5.15851,5.15907
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64303,0.0062727,5.35771,5.35778
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64858,0.0062727,5.42623,5.4263
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,128,128,45,3,1,1,8387,64792,0.0062727,5.35163,5.35171
binary_L11_optims,omp,32,samples/binary_5x5.txt,2,128,128,46,4,1,1,8306,64049,0.0062727,5.29059,5.29066
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63339,0.0062727,12.7276,12.7287
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64303,0.0062727,13.1819,13.182
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.0062727,13.2938,13.2939
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,128,128,45,3,1,1,8387,64789,0.0062727,13.2187,13.2188
binary_L11_optims,omp,64,samples/binary_5x5.txt,2,128,128,46,4,1,1,8306,64051,0.0062727,13.0415,13.0416
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.0062727,18.6249,18.626
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64301,0.0062727,19.2693,19.2694
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64858,0.0062727,19.4282,19.4283
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,128,128,45,3,1,1,8387,64790,0.0062727,19.2388,19.2389
binary_L11_optims,omp,96,samples/binary_5x5.txt,2,128,128,46,4,1,1,8306,64050,0.0062727,18.8716,18.8717
binary_L11_optims,omp,192,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63334,0.0062727,33.4277,33.4308
binary_L11_optims,omp,192,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64303,0.0062727,33.2739,33.274
binary_L11_optims,omp,192,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64860,0.0062727,33.1389,33.1391
binary_L11_optims,omp,192,samples/binary_5x5.txt,2,128,128,45,3,1,1,8387,64788,0.0062727,33.3427,33.3429
binary_L11_optims,omp,192,samples/binary_5x5.txt,2,128,128,46,4,1,1,8306,64050,0.0062727,32.9527,32.9529
binary_L11_optims,serial,1,samples/binary_5x5.txt,2,128,128,42,0,1,1,8107,63337,0.0062727,3.82994,3.83002
binary_L11_optims,serial,1,samples/binary_5x5.txt,2,128,128,43,1,1,1,8426,64302,0.0062727,3.98871,3.98891
binary_L11_optims,serial,1,samples/binary_5x5.txt,2,128,128,44,2,1,1,8468,64859,0.0062727,4.00439,4.0047
binary_L11_optims,serial,1,samples/binary_5x5.txt,2,128,128,45,3,1,1,8387,64793,0.0062727,3.94901,3.94919
binary_L11_optims,serial,1,samples/binary_5x5.txt,2,128,128,46,4,1,1,8306,64052,0.0062727,3.9491,3.9493
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,256,256,42,0,1,1,32034,250549,0.0062727,67.0594,67.0597
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,256,256,43,1,1,1,32680,253677,0.0062727,63.3109,63.3111
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,256,256,44,2,1,1,33241,256116,0.0062727,63.6374,63.6376
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,256,256,45,3,1,1,32531,253615,0.0062727,62.5855,62.5857
binary_L11_optims,omp,1,samples/binary_5x5.txt,2,256,256,46,4,1,1,33323,256312,0.0062727,64.0665,64.0667
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,256,256,42,0,1,1,32034,250540,0.0062727,16.9356,16.9359
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,256,256,43,1,1,1,32680,253673,0.0062727,17.2785,17.2787
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,256,256,44,2,1,1,33241,256107,0.0062727,17.5135,17.5136
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,256,256,45,3,1,1,32531,253609,0.0062727,16.804,16.8041
binary_L11_optims,omp,4,samples/binary_5x5.txt,2,256,256,46,4,1,1,33323,256310,0.0062727,17.3809,17.381
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,256,256,42,0,1,1,32034,250544,0.0062727,9.15406,9.15428
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,256,256,43,1,1,1,32680,253675,0.0062727,9.35086,9.35094
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,256,256,44,2,1,1,33241,256111,0.0062727,9.40784,9.40791
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,256,256,45,3,1,1,32531,253610,0.0062727,9.17278,9.17285
binary_L11_optims,omp,8,samples/binary_5x5.txt,2,256,256,46,4,1,1,33323,256312,0.0062727,9.4973,9.49738
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,256,256,42,0,1,1,32034,250546,0.0062727,7.3381,7.33842
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,256,256,43,1,1,1,32680,253675,0.0062727,7.42736,7.42757
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,256,256,44,2,1,1,33241,256110,0.0062727,7.92471,7.92507
binary_L11_optims,omp,16,samples/binary_5x5.txt,2,256,256,45,3,1,1,32531,253607,0.0062727,7.39412,7.39448
